drug_code,drug_name,atc,drug_form,composition,excipients
41263068,OXICODONE SAND*50CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Olio di ricino idrogenato#Copovidone#Behenoyl-macrogolgliceride#Lattosio monoidrato#magnesio stearato (e470b)#amido di mais#silice anidra colloidale#Trigliceridi a catena media#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#Acido stearico#biossido di titanio (e171)#ferro ossido giallo (e172)
47055013,MORFINA SOLFATO MART*10F 1ML,N02AA01,SOLUZIONE INIETTABILE,Morfina solfato,sodio cloruro#sodio metabisolfito (e223)#acqua per preparazioni iniettabili#sodio idrossido (per aggiustamento del ph)#Acido solforico (per la correzione del pH)
42318067,OSSICODONE AU*60CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#indigotina lacca d’alluminio (e132)#ferro ossido giallo (e172)
42318220,OSSICODONE AU*50CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
44919153,OSSICODONE BRUNO*30CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350#ferro ossido giallo (e172)"
41263144,OXICODONE SAND*20CPR 60MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Olio di ricino idrogenato#Copovidone#Behenoyl-macrogolgliceride#Lattosio monoidrato#magnesio stearato (e470b)#amido di mais#silice anidra colloidale#Trigliceridi a catena media#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#Acido stearico#biossido di titanio (e171)#ferro ossido (e172)
42060739,OXICODONE ACC*60CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
44919280,OSSICODONE BRUNO*60CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350#ferro ossido (e172)"
44919126,OSSICODONE BRUNO*14CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350#ferro ossido giallo (e172)"
34435091,OXYCONTIN*112CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,Lattosio monoidrato#povidone#Ammoniometacrilato copolimero in dispersione#Acido sorbico#triacetina (e1518)#alcol stearilico#talco (e553b)#magnesio stearato (e470b)#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol#polisorbato 80 (e433)#ferro ossido (e172)
